Region,SY 2010-2011,SY 2011-2012,SY 2012-2013,SY 2013-2014,SY 2014-2015,SY 2015-2016,SY 2016-2017,SY 2017-2018,SY 2018-2019,SY 2019-2020,SY 2020-2021,Level
Region I - Ilocos Region,21604,21790,22235,22779,23071,24138,24237,24768,25737,25955,26699,Elementary
Region II - Cagayan Valley,14728,14521,15284,16038,16435,17857,18098,18420,19289,19546,20534,Elementary
Region III - Central Luzon,34952,35418,36417,38774,39972,43501,43342,44493,48160,48812,49911,Elementary
Region IV-A - CALABARZON,37190,37501,39513,43299,45219,49264,49530,51167,55041,57348,60421,Elementary
Region IV-B - MIMAROPA,12900,13215,13622,14826,15516,17279,16982,17394,17946,18509,19277,Elementary
Region V - Bicol Region,27056,27299,28136,29740,30781,33833,33594,34463,35681,36886,38012,Elementary
Region VI - Western Visayas,32774,33046,33766,35340,35854,37888,38203,38947,40507,41336,42132,Elementary
Region VII - Central Visayas,25940,26232,27307,30381,31667,34015,34372,35385,37766,39516,40653,Elementary
Region VIII - Eastern Visayas,21860,22003,22736,24490,25099,28030,27765,28516,30034,30273,30620,Elementary
Region IX - Zamboanga Peninsula,16604,16800,17217,18543,19077,20803,20879,21592,21505,22624,23305,Elementary
Region X - Northern Mindanao,17999,18188,18831,20681,21078,22845,22996,23857,24781,25494,26810,Elementary
Region XI - Davao Region,17148,17233,17832,19368,20256,21764,22184,23257,24489,25098,26010,Elementary
Region XII - Soccsksargen,15761,16019,16794,18898,19633,21475,21705,22384,24097,24475,25244,Elementary
CARAGA - CARAGA,11569,11947,12358,13213,13813,15210,15055,15647,16529,16700,17440,Elementary
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,14317,13104,14402,14590,15649,14179,15361,14811,15863,16348,17228,Elementary
CAR - Cordillera Administrative Region,7848,7999,8278,8747,8904,9890,9838,10007,10349,10610,11007,Elementary
NCR - National Capital Region,31314,31640,33103,32206,35824,36995,35993,37191,36632,37670,38796,Elementary
Region I - Ilocos Region,9032,9271,10022,11431,12116,13311,13006,13471,13916,14741,15117,Junior High School
Region II - Cagayan Valley,5855,5945,6614,7764,8079,8771,8670,8930,9564,9535,10127,Junior High School
Region III - Central Luzon,14534,14832,16710,20539,23113,25852,25270,25948,28299,28892,29860,Junior High School
Region IV-A - CALABARZON,16193,17445,19439,24588,27409,30632,29975,31166,34583,35036,36551,Junior High School
Region IV-B - MIMAROPA,4953,5134,5748,7016,7676,8447,8083,8607,9430,10212,10325,Junior High School
Region V - Bicol Region,10513,10744,12170,14544,15829,17746,17142,17566,19481,20246,21228,Junior High School
Region VI - Western Visayas,13859,14218,15479,17710,18638,19878,19539,20036,21956,22567,23296,Junior High School
Region VII - Central Visayas,9866,10202,12026,14693,16756,19211,18940,20229,21089,22526,24145,Junior High School
Region VIII - Eastern Visayas,7352,7547,9099,10364,11324,13527,12907,13268,15195,15498,15841,Junior High School
Region IX - Zamboanga Peninsula,5703,5820,6491,7631,8258,9788,9170,9466,10517,11001,11756,Junior High School
Region X - Northern Mindanao,5979,6123,6873,8420,9125,10231,10300,10310,11271,11830,12888,Junior High School
Region XI - Davao Region,6619,6756,7543,9017,9750,10768,10520,11321,13149,13683,14773,Junior High School
Region XII - Soccsksargen,6031,6320,6921,8553,9325,10873,10446,11003,12108,12681,12774,Junior High School
CARAGA - CARAGA,4271,4323,5161,6314,6854,7637,7323,7826,8731,9018,9356,Junior High School
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,3332,3204,3707,3866,4473,4277,4447,4732,4965,5236,5505,Junior High School
CAR - Cordillera Administrative Region,2967,3044,3301,3951,4239,4539,4728,4564,4733,4808,5128,Junior High School
NCR - National Capital Region,19210,19588,22439,25250,26746,27833,26617,27652,29540,29883,30017,Junior High School
Region I - Ilocos Region,,,,,,,2082,3594,3899,4507,5138,Senior High School
Region II - Cagayan Valley,,,,,,,1246,2276,2715,2868,3441,Senior High School
Region III - Central Luzon,,,,,,,4011,5415,6068,6405,7357,Senior High School
Region IV-A - CALABARZON,,,,,,,4942,5152,5951,6470,7536,Senior High School
Region IV-B - MIMAROPA,,,,,,,1471,2159,2444,2687,3127,Senior High School
Region V - Bicol Region,,,,,,,2634,3363,4662,5441,6696,Senior High School
Region VI - Western Visayas,,,,,,,3127,4639,5701,6166,7060,Senior High School
Region VII - Central Visayas,,,,,,,2858,3264,3756,4454,6144,Senior High School
Region VIII - Eastern Visayas,,,,,,,1994,3454,3774,4188,4735,Senior High School
Region IX - Zamboanga Peninsula,,,,,,,1310,1399,1928,2290,3236,Senior High School
Region X - Northern Mindanao,,,,,,,1564,2027,2367,2594,3414,Senior High School
Region XI - Davao Region,,,,,,,1609,2123,2566,2978,3365,Senior High School
Region XII - Soccsksargen,,,,,,,1598,2707,2894,3278,3691,Senior High School
CARAGA - CARAGA,,,,,,,1071,1703,2104,2421,3106,Senior High School
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,,,,,,,934,600,393,610,755,Senior High School
CAR - Cordillera Administrative Region,,,,,,,645,842,668,908,1258,Senior High School
NCR - National Capital Region,,,,,,,3692,2462,3266,3335,3997,Senior High School
